Assunto,Tipo de pedido,Detalhamento
"solicitando a instalação de placa de proibido estacionar ou sinalização da guia da sarjeta em amarelo na Rua Cruzeiro do Sul, Bairro – Vila Oliveira",SERVIÇO,Manutenção de Placa de logradouro - SMMT
"solicitando o serviço de tapa buraco na esquina da Rua Cap. Joaquim Antônio Batalha com a Rua Francisco Martins Feitosa, Bairro - Vila Bernadotti",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solicitando a implantação de redutores de velocidade, lombada, na Avenida Francisco Ruiz, número 134, Bairro - Vila da Prata",IMPLANTAÇÃO,Implantação de Redutor de Velocidade
solicitando o aprimoramento da Lei nº 6334/2009 - que dispõe sobre a ordenação dos elementos que compõem a paisagem urbana do município,ATENDIMENTO,Assistência Social - SEMAS
"solicitando a implantação de câmera de monitoramento integrada ao COI - Centro de Operações e Informações - na Escola Heliana Mafra Machado de Castro, Bairro - Vila Cléo.",VISTORIA,Outros
"solicitando as intervenções no final da Rua Hermes Fontes, Bairro - Vila Suissa.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solicitando a execução de obras/serviços de drenagem da água pluvial e nivelamento do solo na Praça do Oito, Bairro - Parque Santana.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicitando a coleta seletiva de lixo e campanha de conscientização, Bairro - Vila São Francisco.",SERVIÇO,Coleta de Lixo/Entulho - SMSUZ
"solicitando que o proprietário do terreno situado na Rua Campo de Marte, ao lado do número 119, Bairro – Jardim Aeroporto III, seja notificado a providenciar a retirada de lixo e construção de cerca.",VISTORIA,Manutenção em Terreno particular - SMSEG
"solicitando a normalização do serviço de coleta de lixo domiciliar na Rua José Marcondes de Carvalho, Bairro - Vila São Paulo",SERVIÇO,Coleta de Lixo/Entulho - SMSUZ
solicitando a implantação de visitas as escolas do Município por atletas e equipes esportivas da cidade.,ATENDIMENTO,Outros
"solicitando a instalação de quadra de Streetball e quadra de Malha em terreno situado ao final da Rua Joaquim Fidélix Chagas, Barrio - Conj. Residencial Cocuera.",IMPLANTAÇÃO,Outros
"solicitando a manutenção de sarjetas na Rua Santana, número 315 - Centro",SERVIÇO,Manutenção Drenagem - SMSUZ
"solicitando a implantação de redutor de velocidade na Rua Gaspar Conqueiro nº 905, Bairro – Alto Ipiranga.",IMPLANTAÇÃO,Implantação de Redutor de Velocidade
"solicitando a manutenção e cascalhamento por toda a extensão da Estrada do Shida, Bairro – Biritiba Ussu.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicitando a capinação e limpeza por toda a extensão da Rua Desembargador Francisco Ferreira, Bairro – Vila Oliveira",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando a instalação de luminária em poste na Estrada do Cogumelo, número, Bairro - Sabaúna.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicitando que o proprietário do terreno situado na Rua Maria do Nascimento Boz Vidal, entre os números 2111 e 2331, Bairro – Vila Suissa, seja notificado a providenciar a limpeza e capinação do terreno.",VISTORIA,Manutenção em Terreno particular - SMSEG
"solicitando a recolocação de luminária de poste número 14.855 na Estrada Quatinga, Bairro – Barroso.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicitando a contenção de barranco na Avenida Francisco Rodrigues Filho, número 5600, Bairro - Vila Suissa.",SERVIÇO,Operação Cata-Tranqueira
"solicitando a recolocação de postes de iluminação na Avenida Pantaleão Trandafilov, Bairro – Jd. Aeroporto III.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicitando a operação tapa buraco por toda a extensão da Avenida Maria do Nascimento Boz Vidal, Bairro - Vila Suissa",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solicitando a limpeza e capinação por toda a extensão da Avenida Pantaleão Trandafilov, Bairro – Jd. Aeroporto III.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando a poda de árvore situada na Avenida Pantaleão Trandafilov, Bairro – Jd. Aeroporto III.",SERVIÇO,Poda de Árvore - SMAPA
solicitando o combate à comercialização de drogas e ocupacão irregular no bairro Jardim AdoIo. mais especificamente na altura do número 450 da Avenida Júlio Simões.,VISTORIA,Outros
"solicitando os serviços de manutenção asfáltica na Rua Professor Adolfo Marttini, nº 393, Bairro - Jardim Santa Teresa.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solicitando a implantação de sinalização semafórica para veículos e pedestres do Bairro - Mogi Moderno, mais especificamente nas proximidades do TRADEF.",IMPLANTAÇÃO,Implantação de Sinalização viária - SMMT
"solicitando a supressão de árvore situada na Avenida Antônio Teixeira Muniz, número 132, Distrito – Cezar de Sousa",SERVIÇO,Poda de Árvore - SMAPA
solicitando a instalação e manutenção da aluminação pública no Jardim Aeroporto III e reforço da segurança no bairro.,SERVIÇO,Manutenção Iluminação Pública - SMSUZ
solicitando o reforço na segurança com patrulhamento e ronda policial e da Guarda Municipal nos arredores do Pró-Hiper,VISTORIA,Rondas Ostensivas/Intensificação - SMSEG
"solicitando a limpeza e capinação das guias e sarjetas portoda a extensão da Rua Internacional, Bairro - Botujuru",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando as obras de manutenção asfáltica no entroncamento entre a Rua João Toledo dos Santos e a Rua Expedicionário Francisco Lopes da Cruz, Bairro - Cezar de Souza.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"Solicita que os horários do ônibus que atende a linha L003, bairro dos Pintos, possa ser intensificada no dia da Festa de Santo Expedito, sob a responsabilidade da Paróquia de Santa Cruz da Capela do Ribeirão, no Distrito de Taiaçupeba, a se realizar no dia 27 de abril.",ATENDIMENTO,Horário de ônibus - SMMT
"Solicitando a roçada de mato, manutenção e limpeza no terreno na Rua Edmund Gerke, ao lado do Bloco do Novo Crescer, Distrito - Cezar de Souza.",SERVIÇO,Limpeza Pública - SMSUZ
"Solicitando a roçada, capinação e limpeza, no Cemitério da Saudade, Bairro – Brás Cubas.",SERVIÇO,Manutenção Cemitérios - SMSUZ
"Solicitando a roçada do mato, manutenção e limpeza, no canteiro na Rua Treze, Conjunto Habitacional Vereador Jefferson da Silva, Distrito - César de Souza.",SERVIÇO,Limpeza Pública - SMSUZ
"Solicitando a roçada, capinação e limpeza da Rua Gonçalves Magalhães, número 99, Bairro - Jardim das Bandeiras.",SERVIÇO,Limpeza Pública - SMSUZ
"Solicitando a substituição das lâmpadas, nos postes de iluminação da Rua Paolo Petraccone, Bairro - Jardim São Pedro.",IMPLANTAÇÃO,Implantação de Iluminação Pública - SMSUZ
"Solicitando a roçagem do mato e limpeza do córrego, situado na Rua Alberto Torres, Bairro - Jardim Juliana.",SERVIÇO,Manutenção córrego/Dessasoreamento - SMSUZ
"Sollicitando que o proprietário do imóvel localizado na Rua Sapucaia, número 130, Bairro – Jardim Layr, seja notificado a providenciar a limpeza de terreno.",VISTORIA,Manutenção em Terreno particular - SMSEG
"Solicitando a implantação do Serviço Médico de Atendimento Veterinário de Urgência (SAMUVET), programa que conta com uma ambulância equipada para transporte de animais de pequeno porte em caso de atropelamentos, maus tratos ou gravemente debilitados.",ATENDIMENTO,Outros
"Solicitando o serviço de tapa buraco, por toda a extensão da Rua Armindo Freire, número 119, Bairro - Vila Natal.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"Solicitando a instalação de lombada ou algum outro dispositivo redutor de velocidade, na Rua Newton Alves dos Anjos, Bairro - Vila São Sebastião.",IMPLANTAÇÃO,Implantação de Lombada - SMMT
"Solicitando os estudos técnicos para a recuperação da camada asfáltica na Estrada do Rio Grande, Bairro – Biritiba Ussu.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"Solicitando a poda das árvores, por toda a extensão da Estrada da Estiva, Bairro – Biritiba Ussu.",SERVIÇO,Poda de Árvore - SMAPA
"Solicitando a ampliação da divulgação do serviço do Castramóvel em Mogi das Cruzes, tendo como objetivo, garantir o maior conhecimento da gratuidade de castração para cães e gatos.",ATENDIMENTO,Outros
"Solicitando a criação e implantação do Programa Moeda Verde no município, com a finalidade de promover a sustentabilidade ambiental, mediante troca de resíduos recicláveis por alimentos.",ATENDIMENTO,Outros
"Solicitando a criação de um cadastro municipal de protetores de animais e lares temporários, com objetivo de organizar e facilitar o acolhimento de animais abandonados.",ATENDIMENTO,Outros
"Solicitando que notifique o proprietário do imóvel situado na Avenida Braz de Pina, ao lado do número 279, Bairro – Vila Vitória, seja notificado a providenciar a limpeza de terreno.",VISTORIA,Manutenção em Terreno particular - SMSEG
"Solicitando que o proprietário do imóvel localizado na Rua Independência, ao lado da Escola José Ribeiro Guimarães, Bairro – Botujuru, seja notificado para providenciar a limpeza de terreno.",VISTORIA,Manutenção em Terreno particular - SMSEG
"Solicitando a instalação de três luminárias na Rua Ceilão, ET. de referência 582529, Bairro - Jardim Santos Dumont I.",IMPLANTAÇÃO,Implantação de Iluminação Pública - SMSUZ
"Solicitando a instalação de seis luminárias na Rua Uganda, ET. de referência 578877 e 578876, Bairro - Jardim Santos Dumont I.",IMPLANTAÇÃO,Implantação de Iluminação Pública - SMSUZ
"Solicitando a instalação de oito luminárias na Rua Benedito Alves de Castro, ET. de referência 540312, Bairro - Taboão.",IMPLANTAÇÃO,Implantação de Iluminação Pública - SMSUZ
"Solicitando a manutenção da viela situada entre a Rua Rômulo Araújo de Medeiros e Rua Raimundo Glicério Augusto, número 58, Bairro - Parque São Martinho.",SERVIÇO,Outros
Solicitando a reativação da base da Guarda Civil Municipal situada na Praça Osvaldo Cruz.,EVENTO,Serviços Evento - SMSEG
Solicitando a implantação da Lei das Terapias Integrativas - PICs em toda a rede básica de saúde.,ATENDIMENTO,Secretaria de Saúde
"Solicitando a implantação de linha de ônibus que possa atender na Estrada Santa Rita, Chácara Primavera, Bairro - Vila Moraes.",VISTORIA,Itinerário de ônibus - SMMT
"Solicitando que o proprietário do imóvel localizado na Rua Independência, ao lado da Escola José Ribeiro Guimarães, Bairro – Vila São Paulo, seja notificado a providenciar a limpeza de terreno.",VISTORIA,Manutenção em Terreno particular - SMSEG
"Solicitando a manutenção asfáltica na Rua Expedicionário Francisco de Oliveira, número 81, Bairro – Jardim Esperança.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"Solicitando o aumento de atendimento na linha de ônibus municipal E305 - Conjunto Santo Ângelo via Bom Pastor, devido a superlotação, principalmente no período matutino.",VISTORIA,Itinerário de ônibus - SMMT
Agentes de trânsito e autorização de uso do carro de som. Procissão Semana Santa 14 a 20 de abril,EVENTO,Agente de trânsito- EVENTO- SMMT
"Solicitando os serviços de manutenção e reinstalação do banco no abrigo do ponto de ônibus, situado na Rua Kikutaro Suzuki com a Rua Jardelina de Almeida Lopes, esquina da Escola Municipal Professora Ivete Chuery Torquato Vicco, Bairro - Jardim Ivete.",SERVIÇO,Manutenção de Abrigo de Ônibus
"Solicitando a implantação de dois redutores de velocidade na Rua Masuzo Naniwa, próximo ao número 105 e número 177, Bairro – Vila Mogilar",IMPLANTAÇÃO,Implantação de Redutor de Velocidade
Uso de praça e infraestrutura elétrica. 15 de março,EVENTO,Uso de Praça - SMMT
"Solicitando a implantação de iluminação pública na Rua Professor Mário Portes, altura do número 19, Bairro - Vila São Paulo.",VISTORIA,Itinerário de ônibus - SMMT
"Solicitando manutenção da E.M. Profª. Cenira Araújo Pereira, garantindo assim, um ambiente escolar acolhedor e estudos para que possa transformar o prédio ao lado em um espaço de atividades para a comunidade, com uma quadra, parque ou um centro dedicado a pratica esportiva, bairro - Chácara Guanabara.",SERVIÇO,Manutenção Unidade Escolar - SME
"Solicitando a implantação de lombada na Rua Monte Carmelo, número 85, Bairro – Parque Morumbi.",IMPLANTAÇÃO,Implantação de Lombada - SMMT
"Solicitando o patrolamento, cascalhamento e estudos para a pavimentação, por toda a extensão da Rua Doutor Modesto Firmino, Bairro - Taiaçupeba.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"Solicita acompanhamento de agentes de trânsito para acompanhar a Procissão de Corpus Christi, a se realizar no dia 19 de junho, bem como, interdição da Rua José Bonifácio, Rua Doutor Deodato Wertheimer e Rua Doutor Paulo Frontin, retornando à Catedral de Sant`Ana, entre 10h00 e 10h30, até o encerramento.",EVENTO,Agente de trânsito- EVENTO- SMMT
"Solicitando a poda de mato, limpeza e manutenção nos corredores dos jazigos e áreas comuns do Cemitério da Saudade, Bairro - Brás Cubas.",SERVIÇO,Limpeza Pública - SMSUZ
"Solicitando as obras de patrolamento, cascalhamento e estudos para a pavimentação por toda a extensão da Rua Geraldo Brito da Rocha, Bairro – Taiaçupeba.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"Solicita acompanhamento de agentes de trânsito para acompanhar a Procissão de Nossa Senhora Aparecida, a se realizar no dia 12 de outubro, às 16h00, bem como, interdição da Rua José Bonifácio, Rua Doutor Deodato Wertheimer e Rua Doutor Paulo Frontin, retornando à Catedral de Sant`Ana.",EVENTO,Agente de trânsito- EVENTO- SMMT
"Solicita acompanhamento de agentes de trânsito para acompanhar a Procissão em Louvor a Santa Rita de Cássia, a se realizar no dia 22 de maio, bem como, interdição das vias durante o trajeto, sendo o início às 17h30 e previsão de término às 18h30.",EVENTO,Agente de trânsito- EVENTO- SMMT
"Solicitando a instalação de postes e braços com luminárias, por toda a extensão da Rua Geraldo Brito da Rocha, Bairro - Taiaçupeba.",IMPLANTAÇÃO,Implantação de Iluminação Pública - SMSUZ
"Solicitando a limpeza e manutenção geral na Praça Nove de julho, Bairro – Nove de julho.",VISTORIA,Manutenção em Terreno particular - SMSEG
Solicitando o serviço de tapa buraco por toda a extensão do bairro Nove julho.,IMPLANTAÇÃO,Implantação de Sinalização viária - SMMT
"Solicitando o asfaltamento da estrada Porteira Preta, Bairro – Jardim Santos Dumont.",IMPLANTAÇÃO,Implantação de Pavimentação/Asfalto - SMSUZ
"Solicitando a instalação de bebedouros no Terminal Estudantes, a medida se faz necessária, devido as altas temperaturas.",SERVIÇO,Outros
"Solicitando a implantação de temporizador de semáforo, faixa de pedestres e melhorias da sinalização na área escolar da Avenida Pref. Carlos Alberto Lopes com Rua Jugurta Lourival Glória.",IMPLANTAÇÃO,Implantação de Sinalização viária - SMMT
"Solicitando a alteração da localização do ponto de ônibus na Rua Francisco Vilani Bicudo, Bairro - Vila Nova Aparecida.",IMPLANTAÇÃO,Implantação de Recuo de ponto de Ônibus - SMMT
"Solicitando a instalação de semáforo de pedestres na Avenida Doutor Álvaro de Campos Carneiro, ao lado dos prédios da Vila Pomar.",IMPLANTAÇÃO,Implantação de Sinalização viária - SMMT
Apoio cerimônia de abertura - Jogos Interescolares - 22 de março,EVENTO,Agente de trânsito- EVENTO- SMMT
"Solicitando o nivelamento da Rua Tanzânia, entre a Avenida Pantaleão Trandafilov Filho e a Rua Lúcio Calixto de França, Bairro - Jardim Santos Dumont.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"informando que no dia 07 de março, a partir das 17h00, será realizado na Praça do Rosário o evento denominado, “Dia Internacional da Mulher”. Será instalado uma tenda, onde utilizarão caixa de som e farão distribuição de panfletos.",EVENTO,Serviços Evento - SMMT
"Solicitando melhorias no transporte público da Linha E 896, Bairro – Jardim Piatã, como a ampliação dos horários de operação, especialmente nos finais de semana e definição do percurso.",VISTORIA,Itinerário de ônibus - SMMT
"Solicitando o serviço de tapa buraco e limpeza de calçada, por toda a extensão da Rua Jorge Arantes de Castro, bairro – Parque Santana.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"Solicitando a capinação da vegetação na margem do córrego dos canudos, na Avenida Júlio Simões, Bairro – Brás Cubas.",SERVIÇO,Limpeza Pública - SMSUZ
"Solicitando instituir a Comissão Organizadora, com a finalidade de coordenar, organizar e promover a 3ª edição do Encontro de Motoclubes e Motogrupos, tendo em vista, fazer parte do Calendário Turístico, conforme a Lei nº 8.073, de 04 de abril de 2024.",EVENTO,Serviços Evento - SMMT
"Solicitando a retomada da atuação da Guarda Municipal 24 horas no CAED de César de Souza, viabilizando assim, o retorno das atividades físicas e culturais no local.",EVENTO,Serviços Evento - SMSEG
"Solicitando a implantação de um Programa Permanente de Revitalização de Áreas Verdes Urbanas na área situada entre a Avenida Eulina Rosa dos Santos e Elbio Federici Pacheco, Bairro - Vila Municipal, com o objetivo de transformar espaços públicos sem uso adequado em locais de convivência, lazer e pratica esportiva.",IMPLANTAÇÃO,Implantação de Abrigo de ônibus - SMMT
"Solicitando melhorias no acesso à Única Fisio e CIAS, sentido Cezar de Sousa, tendo em vista, os acidentes já ocorridos no local.",SERVIÇO,Outros
"Solicitando o serviço de roçagem e limpeza da área situada na Estrada Rikio Suenaga, altura do número 85, Bairro – Vila Caputera.",SERVIÇO,Limpeza Pública - SMSUZ
"Solicitando que o proprietário do imóvel abandonado, situado na Rua Iracema Brasil de Siqueira, número 163, Bairro – Vila Oliveira, seja notificado para providenciar a limpeza do local.",IMPLANTAÇÃO,Implantação de Abrigo de ônibus - SMMT
"Solicitando que o proprietário do imóvel abandonado, situado na Rua Iracema Brasil de Siqueira, número 163, Bairro – Vila Oliveira, seja notificado para providenciar a limpeza do local.",VISTORIA,Manutenção em Terreno particular - SMSEG
"Solicitando a limpeza e roçagem da Rua Joaquim Gomes Faria, número 79, Bairro - Sabaúna.",SERVIÇO,Limpeza Pública - SMSUZ
"Solicitando a contenção do córrego situado na Rua Túlio Bovolenta, altura do número 235, Bairro – Jardim Bovolenta.",SERVIÇO,Manutenção córrego/Dessasoreamento - SMSUZ
"Solicitando estudos para a construção de um retorno na Avenida Prefeito Francisco Ribeiro Nogueira, próximo ao número 3060, Bairro – Mogi Moderno, tendo em vista, as dificuldades que os motoristas enfrentam ao trafegarem sentido Centro/Bairro.",IMPLANTAÇÃO,Implantação de Sinalização viária - SMMT
"Solicitando que o proprietário do imóvel situado na Avenida Japão, número 1913, Bairro – Vila Ipiranga, seja notificado a providenciar a manutenção do local.",VISTORIA,Manutenção em Terreno particular - SMSEG
"Solicitando o recapeamento asfáltico e implantação de guias na travessa da Rua C, Bairro – Vila Moraes.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"Solicitando o recapeamento asfáltico na travessa da Rua C, Bairro – Vila Moraes.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"Solicitando o recapeamento asfáltico por toda a extensão da Rua da Costa, Bairro – Vila Moraes.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"Solicitando o nivelamento e cascalhamento por toda a extensão da Rua da Costa, Bairro – Vila Moraes.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"Solicitando estudos para que possa ser alterado o fluxo viário na Rua São João – Largo do Carmo, tendo em vista, as trepidações causadas pela circulação de ônibus e caminhões no local, comprometer a estrutura da Igreja do Carmo, que faz parte do patrimônio histórico e cultural da cidade.",SERVIÇO,Manutenção Sinalização viária - SMMT
"Solicitando a implantação de placa de sinalização “Proibido Trânsito de Caminhões”, das 14h00 às 06h00, na Avenida Mariano Souza Mello, entre a Rua Manoel de Oliveira e Rua Doutor Correa Neto, Bairro – Mogilar.",IMPLANTAÇÃO,Implantação de Sinalização viária - SMMT
"Solicitando o serviço de tapa buraco na Avenida Pedro Machado, na altura do número 500, Bairro – Mogi Moderno.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"Solicitando o serviço de tapa buraco na Rua José Benedicto Medeiros Aguiar, na altura do número 54, Bairro – Vila Paulista.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"Solicitando a reforma dos aparelhos ATI- Academia da Terceira Idade da Praça situada na Avenida Roque Stilhano, ao lado do número 110, Bairro – Jardim Nathalie.",SERVIÇO,Manutenção Academia da Terceira Idade - SMEL
"Solicitando estudos para implantação de um acesso na Avenida Herminio Raphael da Silva, altura do número 194 para a Avenida Prefeito Francisco Ribeiro Nogueira, Bairro – Jardim Nathalie.",IMPLANTAÇÃO,Outros
"Solicitando a supressão da árvore situada na Rua Cleusa Lourenço, em frente ao número 39, Bairro – Conjunto São Sebastião.",SERVIÇO,Poda de Árvore - SMAPA
"Solicitando a limpeza da calçada e remoção do entulho na Avenida Florêncio de Paiva, número 200. Bairro – Jardim Modelo.",SERVIÇO,Limpeza Pública - SMSUZ
"Solicitando os estudos técnicos para a instalação de lixeiras comunitárias na esquina da Avenida Japão com a Rua da SABESP e na Estrada das Aroeiras, altura do número 2251, Bairro – Conjunto Santo Ângelo.",SERVIÇO,Coleta de Lixo/Entulho - SMSUZ
"Solicitando o cascalhamento e nivelamento na Rua da Paz, Rua Goiás, Rua Ceará, Rua Amazonas, Rua da SABESP e Estrada das Esmeraldas, Bairro – Conjunto do Santo Ângelo.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"Solicitando estudos técnicos para a implantação de um redutor de velocidade na Rua São Camilo de Lelis, altura do número 99, Bairro – Conjunto Santo Ângelo",IMPLANTAÇÃO,Implantação de Redutor de Velocidade
"Solicitando a instalação de um ponto de ônibus na Avenida Japão, na altura do número 9470, Bairro – Parque São Martinho.",IMPLANTAÇÃO,Implantação de Abrigo de ônibus - SMMT
"Solicitando o serviço de tapa buraco na Avenida Japão, entre os números 654 e 9470, Bairro – Conjunto Santo Ângelo.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"Solicitando que o proprietário do imóvel situado na Avenida João XXII, ao lado do número 3530, Bairro – Jardim São Pedro, seja notificado para retirar os galhos das árvores que foram deixadas na calçada, após a poda.",VISTORIA,Manutenção em Terreno particular - SMSEG
"Solicitando a instalação de placa indicativa de ponto de ônibus na Rua São Camilo Lelis, na altura do número 45, Bairro – Conjunto Santo Ângelo",IMPLANTAÇÃO,Implantação de Sinalização viária - SMMT
"Solicitando o serviço de tapa buraco por toda a extensão da Avenida Castelo Branco, Bairro – Cesar de Sousa.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"Solicitando a poda da árvore situada na Estrada Benedito Pedro, próximo ao Sítio Mar de Mel.",SERVIÇO,Poda de Árvore - SMAPA
"Solicitando os serviços de limpeza, roçada, desassoreamento e poda das árvores nas imediações do córrego entre a Rua Jardelina e Avenida Pedro Machado, Bairro – Vila Mogi Moderno.",SERVIÇO,Poda de Árvore - SMAPA
"Solicitando os serviços de limpeza, roçada, desassoreamento e poda das árvores nas imediações do córrego entre a Rua Jardelina e Avenida Pedro Machado, Bairro – Vila Mogi Moderno.",SERVIÇO,Limpeza Pública - SMSUZ
"Solicitando os serviços de limpeza dos bueiros situados nas travessas da Rua João Cardoso dos Santos, Bairro – Vila Industrial.",SERVIÇO,Limpeza Pública - SMSUZ
"Solicitando os serviços de limpeza de via, roçada do mato e raspagem de guias, por todas as Ruas do Bairro da Vila Industrial.",SERVIÇO,Limpeza Pública - SMSUZ
Solicitando os serviços de limpeza e roçada por todas as Ruas do Bairro – Ponte Grande.,SERVIÇO,Limpeza Pública - SMSUZ
"Solicitando os serviços de limpeza e roçada, por todas as Ruas do Bairro – Jardim Aracy.",SERVIÇO,Limpeza Pública - SMSUZ
"Solicitando os serviços de limpeza e roçada, por todas as Ruas do Bairro – Residencial Itapeti.",SERVIÇO,Limpeza Pública - SMSUZ
"Solicitando a poda do mato na Rua Domingos Antônio Laureano, terreno ao lado do número 27, Bairro – Conjunto Residencial Álvaro Bovolenta.",SERVIÇO,Limpeza Pública - SMSUZ
"Solicitando a poda do mato na Rua Giovane Beltramo, altura do número 170, Bairro – Jardim Doutora Liliana.",SERVIÇO,Limpeza Pública - SMSUZ
"Solicitando que o proprietário do terreno situado na Rua Giovane Beltramo, na altura do número 170, Bairro – Jardim Doutora Liliana, seja notificado a realizar a poda na calçada.",VISTORIA,Manutenção em Terreno particular - SMSEG
"Solicitando uma vaga na v, para a menor O. P. P. F., nascida em 23/07/2019.",ATENDIMENTO,Vaga em creche e/ou escola - SME
"Solicitando o serviço de tapa buraco, por toda a extensão da Estrada do Fujitaro Nagao- Cocuera.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"Solicitando a limpeza e roçagem da calçada na Rua Michel Namura, ao lado dos números 226 e 280 – Jardim Cintia.",SERVIÇO,Limpeza Pública - SMSUZ
"Solicitando os serviços de limpeza e capinação da área existente na Rua João Benegas Ortiz com a Avenida Ezelino da Cunha Glória, bem como, a manutenção dos equipamentos (ATI) já existentes.",SERVIÇO,Limpeza Pública - SMSUZ
"Solicitando os serviços de limpeza e roçagem por toda a extensão da Avenida Presidente Castelo Branco, Cezar de Souza.",SERVIÇO,Limpeza Pública - SMSUZ
"Solicitando a manutenção da cobertura do ponto de ônibus, situado na Avenida Ricieri Bertaiolli, ao lado do número 415 – Parque São Martinho.",SERVIÇO,Manutenção Gradil de proteção/Escadaria/Viela - SMSUZ
"Solicitando implantação de ponto de ônibus, para atender os usuários do Santuário Nossa Senhora Desatadora dos Nós, situado na Avenida Comendador Fumio, S/N – Brás Cubas.",IMPLANTAÇÃO,Implantação de Abrigo de ônibus - SMMT
"Solicitando a roçagem do mato e limpeza na Vila Dignidade, situada na Rua José Fernandes Figueira, número 77, Bairro – Vila Cecilia.",SERVIÇO,Limpeza Pública - SMSUZ
"Solicitando o serviço de tapa buraco na Avenida Líbano, Bairro – Jundiapeba.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"Solicitando a implantação de vaga destinada ao Embarque e Desembarque e faixa de pedestre na Avenida Frederico Straube, número 1052, Bairro – Vila Oliveira, para atender as necessidades os usuários da Clínica Grão em Grão.",IMPLANTAÇÃO,Implantação de Vaga de Estacionamento - SMMT
"Solicitando o serviço de roçagem no terreno público, atrás do CEIC Dó Re Mi, CEIM Maria José Alves de Souza situada na Rua Cecília da Rocha, número 2301, Bairro – Jundiapeba",SERVIÇO,Limpeza Pública - SMSUZ
"Solicitando a implantação de um redutor de velocidade na Rua Abner Peixoto de Miranda, em frente aos números 83 e 84, Bairro – Mogi Moderno.",IMPLANTAÇÃO,Implantação de Redutor de Velocidade
"Solicitando a poda das árvores dentro da unidade CEIC Dó Ré Mi Professora Luzia Conceição Silva, na Avenida Gumercindo Gonçalves, Bairro – Jundiapeba",SERVIÇO,Poda de Árvore - SMAPA
"Solicitando a implantação de uma placa “Proibido Estacionar” e pintura de faixa amarela no meio fio da Rua Vitório Partênio, em frente ao numeral 103.",IMPLANTAÇÃO,Implantação de Sinalização viária - SMMT
"Solicitando o serviço de roçagem e limpeza do córrego situado na Rua Tcheslovaquia, altura do número 142, Bairro – Jardim Santos Dumont.",SERVIÇO,Limpeza Pública - SMSUZ
"Solicitando a poda das árvores na ETEC Presidente Vargas, situada na Rua Cel. Cardoso de Siqueira, número 801– Centro.",SERVIÇO,Poda de Árvore - SMAPA
"Solicitando a pintura de “PARE” na Rua Padre Estáquio com a Rua Capitão Joaquim de Mello, Bairro – Alto Ipiranga.",IMPLANTAÇÃO,Implantação de Sinalização viária - SMMT
"Solicitando a operação tapa buraco na Rua Padre Estáquio, Bairro – Alto Ipiranga.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"Solicitando a operação tapa buraco na Rua Franz Steiner, altura do número 750, Bairro – Alto Ipiranga.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"Solicitando a operação tapa buraco na Rua Capitão Joaquim de Mello, altura do número 74, Bairro – Alto Ipiranga.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"Solicitando a operação tapa buraco na Rua Manoel Porcelli, altura do número 384, Bairro – Alto Ipiranga.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"Solicitando informações acerca de terreno situado na Rua Benedicto Pereira Reis, frente 37, Bairro – Vila Sarah Avignon, identificando se a propriedade faz parte do Patrimônio Municipal ou se é uma área particular.",VISTORIA,Manutenção em Terreno particular - SMSEG
